sample_id,predicted_topic,gold_label,normalized_text
10,not_relevant,not_relevant,"Motie van het lid Agema over de waterpijp met kruidenmengsels gehoord de beraadslaging, verzoekt de regering, naast de waterpijp met tabak en nicotine ook de waterpijp met alleen kruidenmengsels toe te voegen aan het rookverbod in de horeca,"
11,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Grashoff over via wet- en regelgeving afdwingen dat bokken op het eigen bedrijf kunnen opgroeien gehoord de beraadslaging, constaterende dat uit Identificatie & Registratie (I&R) data-analyse van 2016 blijkt dat op vrijwel alle bokkenmesterijen sprake is van een hoog sterftecijfer; overwegende dat het sterftecijfer op bokkenmesterijen hoog is doordat verschillende bokjes uit verschillende geitenhouderijen in bokkenmesterijen bij elkaar worden gezet, terwijl het immuunsysteem onvoldoende is ontwikkeld; constaterende dat al een fors deel van de melkgeitenbedrijven laat zien dat bokken op het primaire bedrijf kunnen worden afgemest; verzoekt de regering, te onderzoeken welke mogelijkheden er zijn om via wet- en regelgeving af te dwingen dat bokken op het eigen bedrijf kunnen opgroeien, en hiertoe over te gaan, indien de sector dit niet zelf wil of kan bewerkstelligen."
12,not_relevant,not_relevant,"Motie van het lid Van Brenk over het maximaal benutten van ruimte voor instroom van 50-plussers bij de rijksoverheid gehoord de beraadslaging, overwegende dat het aantal langdurig werkloze 50-plussers zorgwekkend is en dat 50-plussers nog steeds relatief geringe kansen hebben op de arbeidsmarkt; roept de regering op het goede voorbeeld te geven en ruimte voor (instroom van) 50-plussers bij de rijksoverheid maximaal te benutten,"
13,not_relevant,not_relevant,"Motie van het lid De Graaf over de andere landen in het Koninkrijk oproepen het Koninkrijk te verlaten gehoord de beraadslaging, overwegende dat het huidige tijdsgewricht vereist dat ieder land verantwoordelijkheid neemt om zelfstandig problemen het hoofd te bieden; overwegende dat het dekolonisatieproces voltooid is; overwegende dat zelfstandigheid begint bij het krijgen van verantwoordelijkheid; verzoekt de regering, de belangen van de bevolking van Nederland te dienen en de andere landen op te roepen ons Koninkrijk te verlaten,"
14,not_relevant,not_relevant,"Motie van de leden Straus en Dijkgraaf over toetsen en evalueren van de deugdelijkheidseisen gehoord de beraadslaging, overwegende dat de deugdelijkheidseisen in het funderend onderwijs niet periodiek op hun relevantie voor het hedendaagse onderwijs worden getoetst; constaterende dat de deugdelijkheidseisen leidend zijn voor het onderwijstoezicht en derhalve van groot belang zijn voor de effectieve borging van de onderwijskwaliteit; verzoekt de regering om, de bestaande deugdelijkheidseisen te toetsen op hun hedendaagse toepassing, consistentie en effectiviteit in het toezicht en de Kamer hierover voor het zomerreces te informeren; verzoekt de regering voorts om, de deugdelijkheidseisen periodiek te evalueren op hun hedendaagse toepassing, consistentie en effectiviteit,"
15,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Van Tongeren c.s. over het voldoen aan voorwaarden van rechtvaardiging en veiligheid gehoord de beraadslaging, overwegende dat de noodzaak en dus de rechtvaardiging van schaliegaswinning alleen bestaat wanneer het een sluitstuk is van een ambitieus energiebeleid, en dus geen alternatief kan zijn voor het gebrek aan ambitieus energiebeleid; overwegende dat de winning van schaliegas bovendien alleen toelaatbaar is onder de voorwaarde dat die op een zo schoon en veilig mogelijke wijze plaatsvindt; overwegende dat draagvlak van de regio slechts kan worden gevraagd wanneer aan de voorwaarden van rechtvaardiging en veiligheid is voldaan; verzoekt de regering, tot daaraan is voldaan geen toestemming te geven om schaliegas te winnen,"
16,not_relevant,not_relevant,"Motie van het lid Ceder over niet instemmen met toetreding van Kroatië tot de Schengenzone tenzij wordt toegezien op de naleving van fundamentele mensrechten gehoord de beraadslaging, constaterende dat Kroatië voldoet aan de technische vereisten voor toetreding tot de Schengenzone; overwegende dat het CPT-rapport over de behandeling van migranten door Kroatische grensbewakers concludeert dat mishandeling van onderschepte migranten een diepgeworteld probleem is, dat ook na de onderzoeksperiode bleef voortbestaan; overwegende dat het kabinet bij het uiteindelijke besluit over toetreding alle relevante informatie betrekt; verzoekt de regering niet in te stemmen met toetreding van Kroatië tot de Schengenzone tenzij de Kroatische regering de geconstateerde misstanden aantoonbaar adresseert en er een onafhankelijk monitoringsmechanisme ingesteld wordt waarmee toegezien wordt op de naleving door Kroatië van fundamentele mensenrechten,"
17,not_relevant,not_relevant,"Motie van het lid Özütok over de mogelijke implicaties van prejudiciële EHRM-adviezen gehoord de beraadslaging, overwegende dat de door het EHRM in individuele rechtszaken uitgebrachte prejudiciële adviezen principiële rechtsvragen raken en daardoor gevolgen kunnen hebben voor Nederlandse wetgeving in algemene zin; verzoekt de regering, in de gevallen waarin zij dat dienstig acht en met inachtneming van de individuele rechtsgang de Kamer te informeren over de mogelijke implicaties van prejudiciële EHRM-adviezen voor de Nederlandse wetgeving in algemene zin,"
18,not_relevant,not_relevant,"Motie-De Jong over invoering van drie landelijke verkeersregels gehoord de beraadslaging, constaterende, dat er bij scooter-, bromfiets- en snorfietsbestuurders veel onduidelijkheid is over waar zij mogen rijden omdat iedere gemeente op dit punt haar eigen verkeersregels bepaalt; overwegende, dat het in het belang van de verkeersveiligheid is dat er eenduidige regelgeving geldt; verzoekt de regering om drie eenvoudige landelijke regels in te voeren met betrekking tot scooters, brom- en snorfietsen te weten: 1. alle snorfietsen (max. 25 km/h) te allen tijde op het fietspad; 2. alle scooters/bromfietsen (max. 45 km/h) binnen bebouwde kom (dus max. 50 km wegen) op de weg; 3. alle scooters buiten bebouwde kom (dus op wegen met hogere maximum snelheid dan 50 km/h) op het fietspad,"
19,not_relevant,not_relevant,"Motie van de leden Van der Molen en Koerhuis over een plan van aanpak voor de overlast voor woon-werkverkeer op Goeree-Overflakkee gehoord de beraadslaging, constaterende dat in 2023 de Haringvlietbrug dichtgaat voor onderhoud; overwegende dat Goeree-Overflakkee bereikbaar moet blijven voor de hulpdiensten; overwegende dat overlast voor woon-werkverkeer zo veel mogelijk beperkt zou moeten worden; verzoekt het kabinet voor 1 januari 2023 een plan van aanpak te maken voor de overlast voor woon-werkverkeer, en voor diezelfde datum duidelijkheid te verschaffen over de inzet van de hulpdiensten op Goeree-Overflakkee,"
20,not_relevant,not_relevant,"Motie De Mos over uitbannen van het hooliganisme in Nederland gehoord de beraadslaging, constaterende, dat bij deskundigen en binnen de politie grote twijfel bestaat of de voetbalwet gaat werken; overwegende, dat de Engelse voetbalwet met tastbaar resultaat verder gaat dan de Nederlandse; verzoekt de regering in overleg te treden met deskundigen en de politie om te onderzoeken hoe de hiaten uit de voetbalwet kunnen worden gehaald om zo het hooliganisme in Nederland volledig uit te bannen en de Kamer hierover te berichten, ten minste na het seizoen 2010–2011,"
21,not_relevant,not_relevant,"Motie van de leden Diks en Karabulut over toetsen of uit Nederland geëxporteerde wapens zijn ingezet bij mensenrechtenschendingen gehoord de beraadslaging, constaterende dat de regering bij de beoordeling van wapenexportvergunningen toetst of mensenrechten kunnen of zullen worden geschonden met behulp van vanuit Nederland geleverde wapens; constaterende dat voor wapenleveranties die een positieve beoordeling krijgen bij deze toets de Nederlandse regering te goeder trouw een wapenexportvergunning afgeeft en dat er momenteel, bij misbruik hiervan door de afnemer, in het wapenexportbeleid niet kan worden gesanctioneerd; constaterende dat meermaals is gebleken, dat door Nederland geleverd oorlogsmaterieel door vreemde mogendheden zodanig is ingezet dat er toch, ondanks de mensenrechtentoets, mensenrechten zijn geschonden, zoals bijvoorbeeld materieel geëxporteerd naar Saudi-Arabië dat, zoals nu is gebleken, is ingezet in Jemen en het aan de Thaise marine geleverde radarsysteem; verzoekt de regering jaarlijks te evalueren of vanuit Nederland geleverd wapenmaterieel in wordt gezet in strijd met de mensenrechten, en indien zij een dergelijke schending constateert, over te gaan tot een wapenexportverbod naar het betreffende land van ten minste drie jaar, en de Kamer daarover te informeren,"
22,not_relevant,not_relevant,"Motie van de leden Bruins en Verhoeven over verhoging van het Wbso-tarief in de tweede schijf gehoord de beraadslaging, constaterende dat in 2018 de tweede schijf van de Wbso is verlaagd van 16% naar 14%; constaterende dat het kabinet in 2020 het Wbso-tarief in de tweede schijf weer terug op 16% wil brengen; constaterende dat er sprake is van een eenmalige onderuitputting van de Wbso in 2017 en de RDA in 2015 die nog niet is ingezet; van mening dat de Wbso een belangrijk instrument is om de private R&D in Nederland te bevorderen en continuïteit van de voorwaarden in de Wbso van belang is voor het vestigings- en investeringsklimaat voor R&D-intensieve bedrijven; verzoekt de regering, een deel van de eenmalige onderuitputting van de Wbso en de RDA te gebruiken om het Wbso-tarief in de tweede schijf per 1 januari 2019 te verhogen van 14% naar 16%,"
23,not_relevant,not_relevant,"Motie van de leden Markuszower en Wilders over de Nederlandse ambassade van Tel Aviv naar Jeruzalem verhuizen gehoord de beraadslaging, overwegende dat Jeruzalem de enige echte hoofdstad van Israël is; verzoekt de regering de Nederlandse ambassade van Tel Aviv naar Jeruzalem te verhuizen,"
24,not_relevant,not_relevant,"Motie Van Gerven en Leijten over een verlenging van de periode van zichtbaarheid tot vijftien jaar gehoord de beraadslaging, constaterende dat een ontzegging van het recht wederom in het BIG-register te worden ingeschreven en een doorhaling tien jaar zichtbaar zijn; van mening dat dit een te korte periode is, waardoor de kans bestaat dat de desbetreffende arts toch aan het werk gaat; verzoekt de regering om in het geval van een ontzegging van het recht wederom in het BIG-register te worden ingeschreven en in het geval van een doorhaling deze periode te verlengen tot vijftien jaar,"
25,not_relevant,not_relevant,"Motie van het lid Van Gerven over afspreken dat alle verzekeraars het toeslagenbeleid van de preferente verzekeraar volgen gehoord de beraadslaging, overwegende dat er zorgverzekeraars zijn die niet de preferente zorgverzekeraar volgen bij het toekennen van toeslagen aan eerstelijnsverloskundigen in het adherentiegebied van ziekenhuizen waar de acute verloskunde is verdwenen, zoals bijvoorbeeld het Bethesda Ziekenhuis in Hoogeveen; overwegende dat de Minister heeft uitgesproken dat dit wel wenselijk is; spreekt uit dat de Minister met verzekeraars afspreekt dat bij verminderde beschikbaarheid van de tweedelijns acute verloskunde alle verzekeraars het toeslagenbeleid van de preferente verzekeraar volgen,"
26,not_relevant,not_relevant,"Motie van het lid Eerdmans c.s. over modale inkomens meer prioriteit geven in de koopkrachtmaatregelen gehoord de beraadslaging, constaterende dat terecht veel aandacht uitgaat naar de gevolgen van de kelderende koopkracht en stijgende prijzen voor de mensen met de laagste inkomens; overwegende dat werkende Nederlanders met een modaal inkomen echter eveneens hard geraakt gaan worden; overwegende dat zij, net als voor veel reguliere toeslagen, ook niet in aanmerking komen voor de energietoeslag; spreekt uit dat de koopkrachtmaatregelen van het kabinet ontoereikend zijn voor Nederlanders met een modaal inkomen; verzoekt de regering deze groep meer prioriteit te geven in haar koopkrachtmaatregelen,"
27,not_relevant,not_relevant,"Motie van het lid El Abassi over onderzoeken wat er nodig is om de straffen voor het bezitten, verspreiden en produceren van kinderporno maximaal te verhogen gehoord de beraadslaging, constaterende dat Nederland een spilfunctie vervult in de verspreiding van kinderporno en dat de huidige straffen voor het bezitten van kinderporno niet in verhouding staan tot de ernst van het delict; overwegende dat in buurlanden aanzienlijk hogere straffen worden opgelegd voor soortgelijke misdrijven; verzoekt de regering om te onderzoeken wat er nodig is om de straffen maximaal te verhogen voor het bezitten, verspreiden en produceren van kinderporno,"
28,not_relevant,not_relevant,"Motie van de leden Van Meenen en Jadnanansing over de mogelijkheid om af te wijken van de urennorm gehoord de beraadslaging, constaterende dat bij het experiment beroepsopleiding gecombineerde leerwegen bol-bbl het niet mogelijk is van de urennorm af te wijken; overwegende dat afwijking van de urennorm flexibiliteit biedt in het onderwijsprogramma; overwegende dat het wel degelijk mogelijk is de effecten van het experiment gecombineerde leerwegen bol-bbl in kaart te brengen, ook bij afwijking van de urennorm, mits het juiste wordt gemeten; verzoekt de regering, ook bij het experiment beroepsopleiding gecombineerde leerwegen bol-bbl het mogelijk te maken af te wijken van de urennorm, mits op grond van de behaalde resultaten en de tevredenheid daarover van studenten en hun toekomstige werkgevers kan worden vastgesteld dat de opleiding aantoonbaar van voldoende kwaliteit is en dat dit geborgd is in het kwaliteitszorgsysteem van de instelling en de studenten- of deelnemersraad heeft ingestemd, zoals vastgelegd in de wet,"
29,not_relevant,not_relevant,"Motie van het lid Leijten c.s. over het strikt interpreteren van artikel 57, lid 3 van de Grondwet gehoord de beraadslaging, overwegende dat de handhaving van de Grondwet een taak is van de regering en de gezamenlijk en dat de grondwetgever het altijd onwenselijk heeft geacht dat Kamerleden een dubbelfunctie bekleden als bewindspersoon, zoals neergelegd in 57, lid 2 van de Grondwet; constaterende dat hierop één uitzonderingsmogelijkheid bestaat, waardoor een demissionair bewindspersoon na verkiezingen benoemd kan worden als Kamerlid, zoals geregeld in 57, lid 3 van de Grondwet; van mening dat het ongeacht de ruime of smalle interpretatie van 57, lid 3 van de Grondwet onwenselijk is dat nieuw benoemde bewindspersonen tevens Kamerlid blijven en dat dit ook in strijd is met de geest van 57 van de Grondwet; constaterende dat de Raad van State in zijn advisering van 1 september 2021 formuleert dat de Kamer invulling dient te geven aan de reikwijdte van 57, lid 3 van de Grondwet; spreekt uit dat 57, lid 3 van de Grondwet strikt geïnterpreteerd dient te worden, wat betekent dat een Kamerlid nooit een dubbelfunctie kan krijgen nadat het Kamerlid zonder dubbelfunctie is geïnstalleerd en dat er geen enkele uitzondering op 57 van de Grondwet bestaat dan de situatie dat een demissionair bewindspersoon gekozen wordt als Kamerlid; spreekt voorts uit dat bij een ongeoorloofde dubbelfunctie van een Kamerlid de Kamervoorzitter het Reglement van Orde van de Tweede -35896-6 0921 - 7371 2021 , 2020–2021, 35 896, 6 1 Kamer, 2.2 handhaaft en conform X 3 van de Kieswet aan de Kiesraad vermeldt dat er een vacature tot lid is ontstaan,"
30,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Van Raan over het Nederlandse CO2-reductiedoel voor 2030 ophogen naar minimaal 55% gehoord de beraadslaging, verzoekt de regering, het Nederlandse CO2-reductiedoel voor 2030 op te hogen naar minimaal 55% ten opzichte van 1990,"
31,not_relevant,not_relevant,"Motie van het lid Leijten over een inventarisatie van bezoekregelingen voor familieleden gehoord de beraadslaging, constaterende dat er zorginstellingen zijn die familieleden een (al dan niet juridisch afgedwongen) bezoekregeling opleggen; verzoekt de minister, te inventariseren hoe vaak familieleden een bezoekregeling opgelegd krijgen, met de reden daarvan, en de Kamer hierover te informeren,"
32,not_relevant,not_relevant,"Motie van het lid Kathmann over ervoor zorgen dat bedrijven uit landen die we niet vertrouwen geen toegang meer krijgen tot de digitale infrastructuur gehoord de beraadslaging, constaterende dat bedrijven uit landen die we niet vertrouwen technologie leveren voor de Nederlandse digitale infrastructuur; constaterende dat Europese bondgenoten bedrijven weren om de (digitale) veiligheid te waarborgen; overwegende dat Europese bondgenoten die bedrijven niet volledig weren dit bijvoorbeeld wel doen als het gaat om cruciale infrastructuur; draagt de regering op, om ervoor te zorgen dat bedrijven van landen die we niet vertrouwen geen toegang meer krijgen tot de digitale infrastructuur; draagt de regering op, om te zorgen voor uitfasering van bedrijven uit die landen,"
33,not_relevant,not_relevant,"Motie van het lid Graus over een lesmodule ""dierenmishandeling en huiselijk geweld"" gehoord de beraadslaging, verzoekt de regering, een (verkorte) lesmodule «Dierenmishandeling en Huiselijk Geweld» standaard op te nemen in de opleiding tot algemeen opsporingsambtenaar van de Nationale Politie,"
34,not_relevant,not_relevant,"Motie van het lid Van Gerven over de overheveling van de klinische verloskunde van het Vlietland Ziekenhuis naar het Sint Franciscus Gasthuis gehoord de beraadslaging, constaterende dat er ongeveer 1.400 bevallingen per jaar zijn in het Vlietland Ziekenhuis en ongeveer 2.450 in het Sint Franciscus Gasthuis; overwegende dat er geen wetenschappelijke basis is om de klinische verloskunde van het Vlietland Ziekenhuis over te hevelen naar het Sint Franciscus Gasthuis; spreekt uit dat de bereikbaarheid van zorg van groot belang is en dat zorg «om de hoek» beschikbaar moet zijn waar het kan; verzoekt de regering, ervoor te zorgen dat deze unilaterale concentratie geen doorgang vindt,"
35,not_relevant,not_relevant,"Motie Agema over sluiting van alle psychiatrische afdelingen waar de inspectie ernstige tekortkomingen constateert gehoord de beraadslaging, verzoekt de regering te bewerkstellingen dat alle psychiatrische afdelingen waar de Inspectie voor de Gezondheidszorg ernstige tekortkomingen constateert direct gesloten worden,"
36,not_relevant,not_relevant,"Motie van het lid Kooiman over gedetineerden e-mails laten ontvangen via de postkamer gehoord de beraadslaging, van mening dat kinderen niet de dupe moeten zijn van detentie van hun ouder en dat het van belang kan zijn dat contact tussen kind en gedetineerde ouder laagdrempelig en op eenvoudige wijze plaats kan vinden; overwegende dat het initiatief «emailaprisoner» ervoor kan zorgen dat een kind de ouder in detentie op relatief eenvoudige en goedkope wijze een e-mail kan sturen waarbij de postkamer van de penitentiaire inrichting dezelfde controlemogelijkheden heeft als bij reguliere post; constaterende dat de ervaringen in Engeland met dit communicatiemiddel goed zijn, dat ook in Nederland reeds een penitentiaire inrichting deze mogelijkheid beperkt aanbiedt, maar dat medewerking van de Dienst Justitiële Inrichtingen noodzakelijk is om het initiatief «emailaprisoner» uit te breiden; verzoekt de regering, ervoor te zorgen dat penitentiaire inrichtingen de mogelijkheid gaan bieden aan gedetineerden om e-mails te ontvangen via de postkamer en hiertoe in contact te treden met de service «emailaprisoner» en eventuele andere aanbieders,"
37,not_relevant,not_relevant,"Motie Hachchi en Braakhuis over de bedrijfscultuur bij Defensie gehoord de beraadslaging, constaterende, dat de aard van de misstanden en integriteitschendingen bij Defensie neigen naar een structureel karakter; overwegende, dat het wenselijk is dat de controletaak van de Kamer verzwaard wordt ten aanzien van de verbetering van en het onderzoek naar de bedrijfscultuur bij Defensie; constaterende, dat de Kamer bepaalde overheidsprojecten als «groot project» aan kan wijzen, waarbij er procedures in werking treden voor een geïntensiveerde informatievoorziening van de regering aan de Kamer; spreekt uit, dat de verbetering van en het onderzoek naar de bedrijfscultuur bij Defensie aangewezen dient te worden als groot project,"
38,not_relevant,not_relevant,"Motie van de leden De Lange en Kuiken over een goede gegevensuitwisseling tussen ggz, politie, OM en gemeenten gehoord de beraadslaging, constaterende dat er in de praktijk nog belemmeringen bestaan om te komen tot een adequate gegevensuitwisseling tussen ggz en de politie, Openbaar Ministerie en de gemeentes; constaterende dat dit gevaarlijke situaties en zelfs slachtoffers tot gevolg kan hebben; overwegende dat bij ggz-cliënten die lijden aan een gewelddadige of seksuele stoornis de veiligheid voor mensen onnodig in het geding komt als professionals onvoldoende gegevens uitwisselen; overwegende dat professionals op dit soort momenten moeten kunnen handelen om verder leed te voorkomen en de goede zorg te borgen; verzoekt de regering, om in overleg met betrokken partijen met concrete verbetervoorstellen te komen om een goede gegevensuitwisseling tussen de ggz en de politie, Openbaar Ministerie en gemeentes op het gebied van ggz en veiligheid te waarborgen en te laten werken in de praktijk, en hierover de uiterlijk in oktober 2019 te rapporteren,"
39,not_relevant,not_relevant,"Motie van het lid Pouw-Verweij c.s. over het creëren van coronaproof studieplekken gehoord de beraadslaging, constaterende dat psychologische klachten en eenzaamheid sterk toenemen onder jongeren en studenten; constaterende dat de universiteiten en hogescholen weer onderwijs mogen geven, maar slechts één dag per week; overwegende dat de mentale problemen behalve door gebrek aan fysiek onderwijs en contact ook worden veroorzaakt door een gebrek aan structuur en het zich te veel bevinden in één omgeving; overwegende dat veel evenementenlocaties nog ongebruikt worden, de universiteiten zelf ongebruikte grote ruimtes hebben en beide eerder hebben aangegeven coronaproof ruimte te kunnen bieden voor studenten; roept het kabinet op, om te onderzoeken of er coronaproof studieplekken kunnen worden gecreëerd waar studenten kunnen studeren,"
40,climate_agriculture_energy,climate_agriculture_energy,"Motie van de leden Leijten en Van Raan over geen nieuwe subsidierelaties zonder harde afspraken over gezondheidswinst gehoord de beraadslaging, constaterende dat er bij het plan voor het verduurzamen van de staalproductie, dat inmiddels is omarmd door Tata Steel Limited, vele honderden miljoenen subsidies worden verwacht van de overheid; spreekt uit dat er geen nieuwe subsidierelaties mogen worden aangegaan zonder harde afspraken over de te behalen gezondheidswinst in de omgeving,"
