sample_idx,motie_id,frame,trigger,filler,party,year,gold_actor_span,gold_actor_cat,gold_patient_span,gold_patient_cat,pred_actor_spans,pred_actor_cat,pred_patient_spans,pred_patient_cat
26,46f64d85-2806-4fc9-9f82-d2305f10490b,Cogitation,overwegende,Motie van de leden Van der Plas en Stoffer over oneerlijke concurrentie op de interne markt tegengaan en het EU-steunpakket openstellen voor snellere verduurzaming van de Nederlandse tuinbouw,BBB,2022,de leden Van der Plas en Stoffer,Government,de Nederlandse tuinbouw,Agriculture,,,het EU-steunpakket|snellere verduurzaming,International|Government
27,cf61befe-dff5-442a-8146-3753de625dac,Cogitation,overwegende,dat er een lappendeken van financiële stimuleringsregelingen voor verduurzaming wordt opgesteld;,BBB,2023,,,een lappendeken van financiële stimuleringsregelingen voor verduurzaming,Government,een lappendeken,Other,,
28,390daf25-ef23-47d9-a4f5-ba08f3e4364b,Cogitation,overwegende,"dat bedrijven en burgers daardoor onnodig worden geconfronteerd met onrealistische verplichtingen en oplopende kosten, terwijl de haalbaarheid ontbreekt;",BBB,2025,,,bedrijven en burgers,Industry,bedrijven|de haalbaarheid,Industry|Other,onrealistische verplichtingen,Other
29,3c4d7603-faf5-4769-93a5-b5bdeba9d0f4,Statement,constaterende,"dat niet bekend is hoe een boer verder kan als hij of zij koeien moet inleveren; verzoekt het kabinet om geen gve- of graslandnorm in te voeren,",BBB,2023,,,een boer,Agriculture,,,koeien,Agriculture
30,595632a0-96eb-43eb-aac9-495b55430dd4,Statement,constaterende,"dat de regering het voornemen heeft om de nationale CO2-heffing op afvalverwerking aan te scherpen van 35% naar 80% CO2-reductie in 2030, terwijl in het hoofdlijnenakkoord is vastgelegd dat er geen extra nationale koppen moeten worden geïntroduceerd;",BBB,2025,de regering,Government,de nationale CO2-heffing op afvalverwerking,Other,geen extra nationale koppen,International,het voornemen|de nationale CO2-heffing|CO2-reductie|het hoofdlijnenakkoord,Other|Government|Other|Government
31,55d277f0-f88b-4747-a0f2-ab956e7ad247,Cogitation,overwegende,dat de oprichting van een BoerBurgerBelevingsfonds een goed middel kan zijn om boeren te bewegen om op vrijwillige basis boerenland open te gooien voor natuur en recreatie;,BBB,2021,de oprichting van een BoerBurgerBelevingsfonds,Government,boeren,Agriculture,de oprichting,Other,boeren|boerenland|natuur,Agriculture|Agriculture|Nature
32,f56de4fe-78f2-432b-90cc-db1637943b7f,Cogitation,overwegende,dat er voor toekomstige aanlandingen van energie vanaf zee naast de Schiermonnikoog Wantijroute een of meer andere routes gerealiseerd moeten worden welke extra kosten en meerdere keren negatieve effecten met zich meebrengen;,BBB,2025,een of meer andere routes,Energy,extra kosten en meerdere keren negatieve effecten,Other,andere routes,Other,toekomstige aanlandingen,Other
33,5f2339a1-0a89-4db3-b766-e43450368bef,Statement,constaterende,dat de Minister weer een nieuw onderzoek aankondigt terwijl de uitvoering al achterloopt;,BBB,2025,de Minister,Government,een nieuw onderzoek,Other,de Minister,Government,,
34,b5520776-3b68-42ab-91de-96c0170200f4,Statement,constaterende,dat in tegenstelling tot Nederland andere Europese landen op advies van Duitsland contracten met SEFE aanhouden; overwegende dat de unieke positionering van dit kabinet onnodig burgers en gemeentes in Nederland op hoge kosten jaagt;,BBB,2022,dit kabinet,Government,burgers en gemeentes in Nederland,Citizens,andere Europese landen|de unieke positionering|onnodig burgers,International|Other|Citizens,advies,Science
35,dd13ca70-691a-41e6-aa42-9a94205b16e4,Statement,constaterende,"dat voorgenomen peilverhogingen in de toekomst kunnen veroorzaken dat zij inkomensderving uit pijler 1 niet structureel kunnen terugverdienen met de eco-activiteit via weidegang, omdat hogere waterpeilen de grond sneller verzadigen, waardoor weidegang onvoorzien niet mogelijk zal zijn in nattere perioden;",BBB,2021,voorgenomen peilverhogingen,Government,zij,Agriculture,peilverhogingen|hogere waterpeilen|weidegang,Government|Nature|Agriculture,inkomensderving|de eco-activiteit|de grond|nattere perioden,Citizens|Nature|Nature|Nature
36,e3509e79-d64e-4bf1-91cd-a650f4f8205c,Cogitation,overwegende,dat voedselzekerheid een essentiële pijler is voor het welzijn en de stabiliteit van de Europese Unie;,BBB,2024,voedselzekerheid,Other,het welzijn en de stabiliteit van de Europese Unie,International,voedselzekerheid,Agriculture,het welzijn,Citizens
37,9b1a8c6f-7d2c-4f9c-ac19-a547dd99bb41,Cogitation,overwegende,dat er onvoldoende capaciteit is om dit te controleren;,BBB,2022,,,dit,Other,onvoldoende capaciteit,Other,,
38,2ceb8815-3cca-4a69-a617-1f89f35e2db5,Statement,constaterende,"dat bijvoorbeeld veel kippenboeren graag wilg willen planten in hun uitloopgebied, een ontwikkeling die voordelen biedt voor dier en mens, maar dat deze boeren vaak nog worden tegengehouden door belemmerende regelgeving;",BBB,2021,belemmerende regelgeving,Government,deze boeren,Agriculture,planten|deze boeren,Agriculture|Agriculture,veel kippenboeren|voordelen|dier,Agriculture|Other|Nature
39,d2b43643-9e56-4edf-ae0a-9c5eda6339b9,Cogitation,overwegende,Motie van het lid Van der Plas over een wetenschappelijke autoriteit die de monitoring en maatregelen gericht op natuurherstel controleert,BBB,2022,een wetenschappelijke autoriteit,Science,de monitoring en maatregelen gericht op natuurherstel,Nature,,,de monitoring|natuurherstel,Science|Nature
40,1bb1e58d-8154-4b05-932c-c670c6662920,Statement,constaterende,"dat ook het Ctgb adviseert dat de Minister van Landbouw, Natuur en Voedselkwaliteit op wetenschappelijke gronden positief kan",BBB,2023,het Ctgb,Science,,,Ctgb|de Minister,Science|Government,,
41,1bb1e58d-8154-4b05-932c-c670c6662920,Statement,voorstel,om de goedkeuring van glyfosaat te verlengen;,BBB,2023,,,de goedkeuring van glyfosaat,Other,,,de goedkeuring,Other
42,d757dfa2-6931-4856-b5de-4c6580a538ba,Cogitation,overwegende,dat het vroegtijdig oogsten van gewassen grote gevolgen heeft voor de hele keten;,BBB,2023,het vroegtijdig oogsten van gewassen,Agriculture,de hele keten,Industry,het vroegtijdig oogsten,Agriculture,,
43,15a4394a-f03d-41c6-b080-f2a9787e3af4,Cogitation,overwegende,"dat uit de Quickscan locaties en gebieden met kansen voor grootschalige woningbouw van de ministeries van BZK, EZK en lenW naar voren kwam dat nieuwe grootschalige woningbouw op Bleizo-West mogelijk zou moeten zijn;",BBB,2024,"de Quickscan locaties en gebieden met kansen voor grootschalige woningbouw van de ministeries van BZK, EZK en lenW",Government,nieuwe grootschalige woningbouw op Bleizo-West,Other,nieuwe grootschalige woningbouw,Citizens,locaties,Other
44,249731a0-4ada-4f73-a74a-18b6369749f5,Statement,constaterende,"dat zich in de nabije toekomst situaties kunnen voordoen waarin onduidelijk is wie de verantwoordelijkheid draagt voor het afbreken van CCS-locaties, windmolenparken en zonneweiden;",BBB,2024,,,"CCS-locaties, windmolenparken en zonneweiden",Energy,,,de verantwoordelijkheid,Other
45,620031cd-c83f-4640-8891-05b0ff1c3522,Cogitation,overwegende,dat de waterschappen en het Rijk dit najaar moeten besluiten over de financiering van dijkversterkingsprojecten die in 2025 moeten worden opgestart;,BBB,2024,de waterschappen en het Rijk,Government,de financiering van dijkversterkingsprojecten,Other,de waterschappen,Nature,dit najaar|de financiering,Other|Government
46,dafb35a3-28d9-4e38-b291-5fabbc699fb3,Cogitation,overwegende,dat het mestplafond eerder bereikt wordt doordat boeren hun stal voor de zekerheid en uit wantrouwen voor mogelijk nog meer komend beleid zo vol mogelijk houden;,BBB,2024,boeren,Agriculture,het mestplafond,Other,het mestplafond|boeren,Agriculture|Agriculture,hun stal,Other
47,2b5a59b8-2d42-48ed-92bd-dc202608976c,Statement,constaterende,"Motie van het lid Van der Plas c.s. over de potentie van zonnepanelen op vangrails, in wegbermen en op overkappingen in kaart brengen",BBB,2021,,,"de potentie van zonnepanelen op vangrails, in wegbermen en op overkappingen",Energy,,,overkappingen,Nature
48,e4eba812-02d4-4b9a-b1a5-76ff1f53f706,Statement,constaterende,dat partijen van links tot rechts steden en regio’s bereikbaar willen maken of houden en goed willen zorgen voor de natuur;,BBB,2025,partijen van links tot rechts,Government,de natuur,Nature,,,steden|regio|de natuur,Government|Other|Nature
49,ae5d6bd6-ab8f-4155-b7eb-049f160f1c14,Cogitation,nagedacht,"over wat versnippering van, bovendien te kleine, natuurgebieden voor sociaaleconomische schade aan kan richten;",BBB,2022,"versnippering van, bovendien te kleine, natuurgebieden",Nature,sociaaleconomische schade,Other,,,versnippering|sociaaleconomische schade,Other|Citizens
50,41566568-5834-4b6d-b175-c6da1e280ee6,Cogitation,overwegende,dat wanneer boeren gaan verduurzamen de kostprijs hoger kan worden;,BBB,2023,boeren,Agriculture,de kostprijs,Other,boeren,Agriculture,de kostprijs,Citizens
51,30844cce-76a7-477a-b5e8-f52dffde14d0,Statement,constaterende,dat de randvoorwaarden voor de zero-emissiezones nog niet overal zijn gerealiseerd en nog niet geschikt zijn voor grootschalige toepassing;,BBB,2024,,,de randvoorwaarden voor de zero-emissiezones,Government,de randvoorwaarden,Government,grootschalige toepassing,Other
52,06cff5e3-6273-4537-ad63-15c79c518495,Statement,constaterende,dat de doelstellingen in de Wet natuurbescherming niet zijn gerelateerd aan de negatieve trend in stikstofdepositie;,BBB,2022,,,de doelstellingen in de Wet natuurbescherming,Government,,,de negatieve trend,Other
53,f3ee4dca-aedb-4f87-a519-71a94596a4d9,Statement,uitspreken,dat voedselproductie een publiek belang,BBB,2022,,,voedselproductie,Agriculture,voedselproductie,Agriculture,,
54,04fa93fe-d6c2-424e-b831-bfce9aafb8aa,Statement,Motie,over nieuwbouwwoningen vaker laten opleveren met turfvrije tuinaarde in plaats van met zand,BBB,2022,,,nieuwbouwwoningen,Other,,,nieuwbouwwoningen|tuinaarde,Citizens|Agriculture
55,14627ade-d989-4d8a-946d-33cc2d77fcba,Statement,constaterende,"dat er de komende jaren mogelijk honderden tot duizenden boeren zullen stoppen, al dan niet door verplichte uitkoop of onteigening;",BBB,2022,honderden tot duizenden boeren,Agriculture,,,,,al dan niet door verplichte uitkoop,Government
56,c01c3ced-b558-48cc-a125-a55207343b22,Statement,constaterende,dat bij het verlengen van de oliewinning in Schoonebeek de regio gaat meeprofiteren;,BBB,2024,de regio,Citizens,,,de regio,Other,,
57,e9e45fc8-0756-4dd1-91cb-0a160d99346a,Cogitation,overwegende,dat er tussen 2018 en 2022 sprake is van een verdubbeling van het aandeel laagrisicostoffen in Europa;,BBB,2023,,,het aandeel laagrisicostoffen,Other,sprake,Other,,
58,68d647f8-9c08-42a0-8772-8496e079c579,Cogitation,overwegende,dat het wenselijk en eerlijker is dat huishoudens een belasting betalen die past bij hun omvang;,BBB,2024,huishoudens,Citizens,een belasting,Other,,,een belasting|hun omvang,Government|Other
59,0b0ae99c-6fed-4895-b626-28084bcecb73,Cogitation,overwegende,dat er grote onrust is om de hervatting van de injecties van afvalwater uit Schoonebeek in de bodem van Twente;,BBB,2021,,,de bodem van Twente,Nature,grote onrust,Other,,
60,22e92ff5-032f-4167-8b17-2d0f35bcd9e8,Cogitation,overwegende,dat het niet uit te leggen is om de ene stikstof uitstotende activiteit in te wisselen voor de andere;,BBB,2022,,,de ene stikstof uitstotende activiteit,Other,,,de ene stikstof|uitstotende activiteit,Agriculture|Industry
61,850f9316-c7ca-4538-a924-58c44609a131,Statement,constaterende,Motie van het lid Van der Plas over het pas afschaffen van de salderingsregeling wanneer minimaal 5 miljoen huishoudens hun zonnepanelen terugverdiend hebben,BBB,2023,het lid Van der Plas,Government,de salderingsregeling,Energy,,,hun zonnepanelen,Energy
62,252b6c7e-444a-43a7-8c29-dd6e67bbfb86,Cogitation,overwegende,"dat dit desastreuze juridische gevolgen kan hebben voor woningbouw, infrastructuur en energietransitie in Nederland;",BBB,2022,dit,Other,"woningbouw, infrastructuur en energietransitie",Other,,,woningbouw,Citizens
63,28b4d675-0a14-48e3-ba27-5d7f08ed0a85,Cogitation,overwegende,dat het demissionaire kabinet deelneemt aan gesprekken over de «groene handelsagenda»;,BBB,2024,het demissionaire kabinet,Government,gesprekken over de «groene handelsagenda»,Other,het demissionaire kabinet,Government,gesprekken,Other
64,aaa492f0-d9e9-44a6-b013-e6cc2d15aaa6,Statement,constaterende,dat het initiëren van waterstofinfrastructuur een belangrijke bijdrage kan leveren aan verduurzaming van de luchtvaart en dat Groningen Airport Eelde zich met zijn ecosysteem voor waterstof ontwikkelt tot proeftuin voor innovaties in de mondiale energietransitie van de luchtvaart;,BBB,2022,het initiëren van waterstofinfrastructuur,Energy,verduurzaming van de luchtvaart,Industry,Eelde,Other,verduurzaming|zijn ecosysteem|waterstof|proeftuin,Other|Nature|Energy|Agriculture
65,5d69f6b4-8e5a-4ec4-9df5-ee41aefcd1d1,Cogitation,overwegende,Motie van het lid Van der Plas c.s. over tijdelijke vastlegging in voedsel meenemen in het doel om uitstoot en vastlegging van broeikasgassen met elkaar in overeenstemming te brengen,BBB,2022,,,tijdelijke vastlegging in voedsel,Agriculture,,,uitstoot|overeenstemming,Other|Other
66,ce638808-fe1c-4d02-85c4-adaa53120d9d,Statement,constaterende,dat er op het gebied van waterkwaliteit sprake is van verdeelde verantwoordelijkheden;,BBB,2025,,,waterkwaliteit,Nature,sprake,Other,waterkwaliteit,Nature
67,7a560505-2e61-4495-a7cb-bb9a95eb6c4c,Cogitation,overwegende,dat de Duitse energiebedrijven RWE en Uniper miljardenclaims hebben ingediend tegen de Nederlandse overheid vanwege vermeende verliezen;,BBB,2021,de Duitse energiebedrijven RWE en Uniper,Energy,de Nederlandse overheid,Government,de Duitse energiebedrijven,Energy,de Nederlandse overheid,Government
68,2fdb639e-8091-491b-9f48-77076e1b0bb0,Statement,constaterende,"dat in het coalitieakkoord via het klimaatfonds 5 miljard euro beschikbaar is gesteld voor kernenergie, waarvan 50 miljoen in 2023;",BBB,2022,het coalitieakkoord,Government,5 miljard euro,Other,,,het klimaatfonds|kernenergie,Government|Energy
69,8ddf4e85-cc01-4276-b776-ca0916709ca7,Cogitation,overwegende,dat zero-emissiezones er voor bepaalde ondernemers voor zorgen dat binnensteden niet meer bereikbaar zijn;,BBB,2024,zero-emissiezones,Government,bepaalde ondernemers,Industry,zero-emissiezones|binnensteden,Government|Citizens,bepaalde ondernemers,Industry
70,6677f352-fb03-47e0-8a01-89dc5f67db59,Statement,constaterende,"dat in het meest recente ontwikkelkader windenergie op zee geen rekening wordt gehouden met de gevolgen voor de visserij; verzoekt de regering om het ontwikkelkader windenergie op zee zodanig aan te passen dat visserijbelangen expliciet worden meegewogen en geborgd,",BBB,2025,het meest recente ontwikkelkader windenergie op zee,Government,de visserij,Agriculture,visserijbelangen,Agriculture,windenergie|het ontwikkelkader windenergie,Energy|Energy
71,19933144-5735-45da-a67d-beb2a40c03ac,Statement,aangeven,"dat door specifieke omstandigheden, bufferstroken in Nederland niet vergelijkbaar zijn met andere landen;",BBB,2023,,,bufferstroken in Nederland,Nature,bufferstroken,Nature,specifieke omstandigheden|andere landen,Other|International
72,e1cd6b91-0f7b-4b34-b0b9-576da59608dc,Cogitation,overwegende,"dat de natuurherstelverordening grote en mogelijk nog onbekende, negatieve gevolgen zal hebben voor maatschappelijke vraagstukken en ruimtelijke ordening in Nederland, zoals woningbouw, economie en natuur;",BBB,2023,de natuurherstelverordening,International,maatschappelijke vraagstukken en ruimtelijke ordening,Other,de natuurherstelverordening,Nature,maatschappelijke vraagstukken,Other
73,3d20daf2-05bb-49d2-9f4f-efa2c9fccaf0,Statement,constaterende,dat doelen niet gehaald gaan worden als het gaat om de Nitraatrichtlijn en de Kaderrichtlijn Water;,BBB,2021,,,doelen,Other,,,Nitraatrichtlijn,Agriculture
74,ceef58f8-37bf-4ac5-adb5-0ec9602a8cb1,Statement,constaterende,dat dit de agrarische sector kan helpen verduurzamen;,BBB,2022,dit,Other,de agrarische sector,Agriculture,,,de agrarische sector,Agriculture
75,49799949-348c-4e50-a959-98c956fa12d6,Statement,constaterende,Motie van het lid Omtzigt c.s. over de Kamer informeren over de prijsopbouw en de totale verkoopprijs van het Nederlandse gas,BBB,2022,het lid Omtzigt c.s.,Government,de Kamer,Government,,,de prijsopbouw,Other
76,cf876dcb-0b13-4826-bc80-2bbebc206ffd,Statement,constaterende,dat er nu al minder kunstmest beschikbaar is en dat de prijs van kunstmest nog verder stijgt;,BBB,2022,,,kunstmest,Other,minder kunstmest|de prijs,Agriculture|Other,,
77,9b1a8c6f-7d2c-4f9c-ac19-a547dd99bb41,Statement,constaterende,dat industriële bedrijven zelf hun stikstofuitstoot mogen vaststellen en doorgeven;,BBB,2022,industriële bedrijven,Industry,hun stikstofuitstoot,Nature,,,industriële bedrijven|hun stikstofuitstoot,Industry|Agriculture
78,6bc8b0c6-2f1f-46bb-bf02-296edcb68ed2,Statement,constaterende,dat de regering energiecompensatie wil uitkeren aan huishoudens en studenten met een eigen energiecontract;,BBB,2022,de regering,Government,huishoudens en studenten,Citizens,,,huishoudens,Citizens
