sample_idx,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
10,cda,2010,"Biotechnologie bij planten kan een belangrijke rol spelen inzake wereldwijde voedselzekerheid, alsmede in de klimaatadaptatie van gewassen. Vanzelfsprekend moet genetische modificatie van planten voldoen aan het criterium dat deze veilig is voor mens, dier en milieu.",1,1,2,2,2,1,1
11,cda,2010,Bij herontwikkeling moet de nadruk liggen op kwaliteit en duurzaamheid.,1,1,1,1,2,1,1
12,cda,2010,"De doelstellingen in 2020, geformuleerd op Europees niveau, zijnde het verminderen van de uitstoot van broeikasgassen met 20 procent, de verhoging van de energie-efficiëntie met 20 procent en een aandeel van duurzame energie van 20 procent blijven fier overeind staan.",1,1,2,1,1,1,1
13,cda,2010,"De klimaatveranderingen leiden ertoe dat de normen voor bescherming tegen (zee- en rivier)water zonder extra maatregelen niet meer zullen worden gehaald. De kans op overstromingen neemt toe, en daarmee de kans op schade en bedreiging voor mens en dier. Het verleden dat Nederlanders met water hebben, schenkt vertrouwen voor de toekomst. Rivieren moeten waar noodzakelijk en mogelijk meer ruimte krijgen; water is medeordenend voor de ruimtelijke inrichting. Het werken aan veilige dijken en verbeterde kustwering verdient prioriteit, zodat er geen catastrofale rampen kunnen ontstaan als gevolg van extreme weersomstandigheden, bodemdaling en zeespiegelstijging. De Deltawet vormt hiervoor de wettelijke basis.",1,1,2,1,3,3,1
14,cda,2012,Private investeringen in verduurzaming willen wij aantrekkelijker maken. Wij pleiten voor lokale en regionale fondsen voor energiebesparing. Gemeenten en provincies zorgen voor de cofinanciering en stimuleren kleinschalige energieopwekking.,4,1,1,1,1,1,1
15,cda,2012,Het telen van gewassen die enkel dienen als fossiele brandstof is in dit kader geen wenselijke bijdrage en dient daarom op geen enkele wijze te worden gestimuleerd.,1,1,1,1,2,1,1
16,cda,2012,"Stap voor stap naar een 'groene economie': groene investeringsmaatschappij, extra investeren in Green Deals, duurzame energie, energiezuinige woningen en gebouwen.",4,1,1,1,2,1,1
17,cda,2012,"Decentrale energieopwekking: energieopwekking die niet meer centraal plaatsvindt door grote energiecentrales, maar door burgers of bedrijven, meestal kleinschalig en op duurzame wijze.",1,1,1,1,2,1,1
18,cda,2017,"Woningbouwcorporaties belonen voor energiezuinig bouwen De woningbouwcorporaties blijven werken aan het herstel van vertrouwen van hun huurders en van de samenleving als geheel. Slechte investeringen, buitensporige beloningen en gevaarlijk derivatenbeleid hebben het vertrouwen flink geschaad. Er is en blijft behoefte aan een sterke corporatiesector dus zetten we volop in op het herstel van",4,2,1,1,2,1,1
19,cda,2017,Doorontwikkeling naar schonere luchtvaart en binnenvaart met nieuwe technologie is daarbij essentieel om het milieu en de luchtkwaliteit te beschermen.,1,1,1,1,3,1,1
20,cda,2021,"Met hun vakmanschap en innovatie is een versnelling van de verduurzaming haalbaar. In een goede balans met de natuur, het landschap en de omgeving om hen heen. Wat de sector daarvoor nodig heeft is een duidelijk langetermijnperspectief, de ruimte om te ontwikkelen en een eerlijke prijs voor hun producten. Voor een gezonde toekomst voor de hele agrarische sector kiezen wij voor een nieuwe aanpak, waarbij de overheid met de sector duidelijke langjarige duurzaamheidsdoelen vastlegt en vervolgens de uitvoering aan de sector zelf over laat om deze doelen te halen.",3,1,1,1,2,2,1
21,cda,2021,"De beperking van de uitstoot van CO2 en stikstof vraagt in eigen land om een evenredige bijdrage van alle sectoren. De overheid maakt met grote bedrijven die een hoge CO2-uitstoot hebben afspraken over reductiedoelstellingen en de hulp die we hierbij bieden, met het oog op het behoud van de grote bedrijven. Ook in de agrarische sector gaan we werken met langjarige duurzaamheidsdoelen. Wij kiezen voor een versnelde overgang naar een betaalbare, duurzame energiemix. Windenergie op zee blijft een belangrijke bron. We blijven investeren in zonne-energie, duurzame biomassa en energiebesparing. Voor de periode na 2030 is kernenergie een serieuze optie. Samen met de energiesector ontwikkelen we daarom nieuwe plannen voor",4,1,2,1,1,2,1
22,cda,2021,"vraagt in eigen land om een evenredige bijdrage van alle sectoren. De overheid maakt met grote bedrijven die een hoge CO2-uitstoot hebben afspraken over reductiedoelstellingen en de hulp die we hierbij bieden, met het oog op het behoud van de grote bedrijven. Ook in de agrarische sector gaan we werken met langjarige duurzaamheidsdoelen.",3,2,1,1,1,1,1
23,cda,2021,"Door grip te krijgen op migratie en integratie zijn wij ook beter voorbereid op de verwachte toename van het aantal migranten door oorlog en geweld, klimaatverandering en de verdubbeling van de bevolkingsgroei in Afrika in de komende decennia.",1,1,2,3,1,2,1
24,cda,2021,"Strenge bronmaatregelen voor auto's, apparaten of bouwmaterialen zijn voor het klimaat veel effectiever dan maatregelen die de schade achteraf beperken. Daarom stellen wij in Europees verband strengere eisen aan duurzame productie en kwaliteit van tal van producten. Met een 'recht op reparatie' dwingen we hogere kwaliteitseisen af voor gebruiksproducten als huishoudelijke apparatuur en mobiele telefoons.",2,1,1,1,1,1,1
25,cda,2021,"Met de uitbreiding van windenergieparken en natuurgebieden neemt het aantal gebruikers op de Noordzee steeds verder toe. Bij de uitvoering van het Noordzeeakkoord moeten de belangen van de Nederlandse vissersvloot zwaar meewegen, zowel in het behoud van voldoende visgronden als in het stimuleren van innovatie en verduurzaming.",3,2,1,1,2,1,2
26,cda,2021,"Wij maken serieus werk van de vergroening en verduurzaming van ons land. Met een groene en schone leefomgeving, investeringen in schone energie en vermindering van uitstoot dragen we bij aan de doelen van Parijs. Wij betrekken burgers vooraf bij grote besluiten en bieden ruimere regelingen voor investeringen in isolatie en energiebesparing aan je eigen huis.",2,1,2,1,3,1,1
27,cda,2023,"Het vervoer van goederen per spoor is veilig en draagt bij aan een eerlijke, rechtvaardige, en duurzame economie.",2,3,1,1,2,1,1
28,cda,2023,"Windmolens op land moeten - evenals transport van elektriciteit op land zorgvuldig, met oog op het beperken van overlast voor omwonenden en met respect voor het landschap, worden ingepast. Daarbij is ook burgerparticipatie een vereiste. Windmolens op zee worden natuurversterkend gebouwd met oog voor de visserij. In de Regionale Energie Strategie (RES) komt meer ruimte voor andere energiebronnen dan zon- en windenergie en meer aandacht voor lokaal maatwerk.",1,1,1,1,2,1,1
29,cda,2023,"Een duurzaam huis betekent ook duurzaam bouwen en isoleren. We introduceren een norm voor een minimumaandeel bouwen met biobased-materialen (als hennep, vlas en lisdodde) en vergroten het aandeel biobased-isoleren van woningen.",1,1,1,1,2,1,1
30,cda,2023,De financiële opbrengsten investeren woningcorporaties vervolgens in nieuwbouw en verduurzaming.,2,1,1,1,1,1,1
31,cda,2023,"We zetten het Deltaprogramma door, waarmee we ook in 2050 droge voeten houden, en stimuleren het vasthouden in plaats van het afvoeren van water. We zetten in op het tegengaan van de funderingsproblematiek als gevolg van bodemdaling of de verandering van grondwaterstanden. Lokaal, provinciaal en nationaal worden klimaatadaptatieplannen gemaakt, ondersteund door de waterschappen.",1,1,1,1,3,2,1
32,d66,2010,"Verduurzamen luchtvaart. De toenemende mobiliteit moet niet ten koste gaan van de duurzaamheid van onze samenleving. De C02-uitstoot in de verkeer- en vervoerssector groeit harder dan in welke andere sector dan ook. Verduurzaming van de luchtvaart is voor D66 een voorwaarde voor verdere groei, dit heeft echter alleen zin in Europese context. Daarom wil D66 alleen een vliegtax op Europees niveau, en één Europees luchtruim invoeren. De werkelijke kosten moeten in de vluchtprijs doorberekend worden.",3,1,2,1,3,1,1
33,d66,2010,"Beperk kolen. D66 wil geen vergunningen meer verlenen aan de nieuwbouw van energiecentrales die meer dan 350 gram C02 per kWh elektriciteit uitstoten. Vanaf 2020 zullen bovendien alle in operatie zijnde energiecentrales bij wet verplicht worden om aan deze 350 gram norm te voldoen, eventueel door - indien bewezen veilig en rendabel - het afvangen en opslaan van C02. Voordat langjarige ervaring met de ondergrondse opslag van C02 opgedaan is, vindt geen opslag onder woongebieden plaats. Vanuit het principe dat de vervuiler betaalt, zal de overheid na de beginfase geen subsidie meer verstrekken voor de ontwikkeling van C02-opslagtechnologie. Vanwege consequente fiscale vergroening dient ook het vrijstellen van accijnzen voor kolen afgeschaft te worden door stapsgewijze invoering van een jaarlijks stijgende kolenaccijns. In eerste instantie in Europees verband, mocht dit mislukken dan neemt Nederland zijn eigen verantwoordelijkheid hierin.",3,2,3,1,2,2,1
34,d66,2010,"Europa wordt steeds belangrijker, ook als het gaat om energie - en milieu-beleid. D66 spant zich in voor een snellere ontwikkeling van één Europese energiemarkt, mede omdat de omslag naar duurzame energie door samenwerking efficiënter gerealiseerd kan worden. De energiemarkt is allang niet meer nationaal georiënteerd; onze gas- en elektriciteitsnetwerken zijn sterk verweven met andere landen in Noordwest-Europa. D66 wil zich inzetten om meer inter-connecties, zoals de NorNed-kabel van Noorwegen naar Nederland, te krijgen. Europa moet internationale samenwerkingsverbanden creëren om ook investeringen in grootschalige energieopwekking uit hernieuwbare bronnen buiten de EU te stimuleren.",3,1,1,2,1,2,1
35,d66,2010,"D66 streeft naar een schoon en leefbaar land. Een land waar het prettig leven is, waar mensen plezierig kunnen wonen, zich vrij en snel kunnen bewegen en kunnen genieten van het landschap om hen heen. In een dichtbevolkt land als Nederland is een effectieve inrichting van onze leefomgeving cruciaal, zodat wonen, werken en recreëren goed met elkaar kunnen worden gecombineerd. D66 streeft naar een duurzame samenleving, waarin stad, land en natuur niet los van elkaar worden gezien. Heldere keuzes zijn nodig. Wat doen we waar wel en waar niet? D66 streeft naar een samenleving waarin mensen zich voortdurend bewust zijn van de gevolgen van hun keuzes. Gevolgen voor henzelf, voor de mensen om hen heen en voor toekomstige generaties. Ook onze kinderen en kleinkinderen hebben recht op een schone en leefbare omgeving. Onze leefwijze heeft veel invloed op de omgeving. Het besef dat we onze",1,3,1,1,2,1,1
36,d66,2010,"Stimuleren innovatie. D66 verwacht van de overheid een stimulerende rol in het opbouwen van nieuwe industriesectoren in duurzame energie. De overheid kan een faciliterende rol spelen in vergunningverlening, in het steunen en opstarten van kleinschalige pilots en door het bevorderen van de kennisinfrastructuur rond WO/HBO/MBO.",4,1,1,1,1,1,1
37,d66,2010,"Er is inmiddels voldoende kennis en ervaring om over te schakelen op schone energie. Zon, water, wind en biomassa kunnen ons binnen afzienbare tijd voorzien in wat we nodig hebben om te kunnen verwarmen en verkoelen, te bewegen en te produceren. Maar schone energie produceren loont nu niet genoeg omdat vervuilende fossiele brandstoffen als olie, kolen en gas nog steeds goedkoop beschikbaar zijn. Die zorgen voor fijnstof (luchtvervuiling), ze warmen de aarde op (C02, broeikaseffect) en er worden oorlogen over gevoerd. De kosten van de schoonmaak en het herstel van de schade aan het milieu zijn te vaak niet in de prijs inbegrepen. Het probleem is niet dat schone energie te duur is. Fossiele brandstoffen zijn te goedkoop. En ze raken op. Pas als de werkelijke kosten van fossiele brandstoffen worden doorberekend zal het lonend worden om schone energie te produceren. En dan zijn er ook geen subsidies meer nodig. Dan hebben de huidige energieproducenten alle reden om actief en massaal te investeren in onderzoek naar en het ontwikkelen van nieuwe productie- en distributiemethoden. Pas op een gelijk speelveld kan schone energie gaan bloeien.",4,1,2,3,3,1,1
38,d66,2010,Meer groen zal vanuit het oogpunt van duurzaamheid en ruimtebeslag in combinatie met hogere stedelijke dichtheden gereali­ seerd moeten worden rekening houdende met de lokale karakteristiek.,1,1,1,1,2,1,1
39,d66,2010,"De internationale samenwerking wordt op de proef gesteld. De mondiale financiële crisis, het opraken van fossiele brandstoffen, de schaarste aan voedsel en water, ingrijpende demografische ontwikkelingen, klimaatveranderingen en het internationale terrorisme hebben de noodzaak van gezamenlijk optrekken verder vergroot. Tegelijkertijd wordt die collectieve verantwoordelijkheid nog onvoldoende omgezet in internationaal beleid - dat werd weer eens bewezen bij de VN-klimaatconferentie in Kopenhagen.",1,3,1,2,2,2,1
40,d66,2012,D66 wil dat investeringen in schone technologie lonen. Daarom handhaaft D66 fiscale prikkels zoals de groene heffingskorting in 2013 en vergroten we de mogelijkheden voor belastingaftrek voor investeringen in energiebesparingen en milieu-investeringen via zogenaamde EIA/VAMIL regelingen.,5,1,1,1,2,1,1
41,d66,2012,"Grote bezorgdheid is op haar plaats met betrekking tot de toestand van milieu en ecosystemen in de wereld. We kunnen dit niet binnen Nederland alleen oplossen. Daarom zullen onderwerpen als het tegengaan van broeikasgassen, het weer gezond maken van zeeën en oceanen en het in stand houden van het regenwoud, speerpunten van het buitenlands beleid van Nederland moeten zijn. Slagvaardig internationaal samenwerken is namelijk noodzakelijk, beginnend in Europa. Veel van onze milieuvraagstukken zoals klimaat, schonere lucht, herstel van de grote rivieren of de bescherming van de Noordzee, kunnen we alleen met onze buren oplossen.",1,2,1,1,4,2,1
42,d66,2012,"In de strijd om groei gaat het meer en meer om flexibel en hoogwaardig talent, ondernemerschap, duurzaamheid en economische flexibiliteit.",4,1,1,1,2,1,1
43,d66,2012,D66 bevordert duurzame en energiezuinige nieuwbouw en verbouw. Dit vindt onder andere plaats door vergroening van het bouwbesluit en het vereenvoudigen van het (her)benutten van lege gebouwen voor andere functies door het wegnemen van barrières in bestemmingsplannen.,1,1,1,1,2,1,1
44,d66,2012,"Biobrandstoffen kunnen, mits duurzaam, een belangrijke bijdrage leveren aan vergroening van onze mobiliteit. Wat D66 betreft wordt in 2020 minimaal 50% van alle biobrandstoffen gewonnen uit afval, algen en restproductie. Daarnaast moet 10% van de brandstoffen in de transportsector op een duurzame manier verkregen zijn. D66 steunt en stimuleert duurzame innovaties op het gebied van logistiek en transport die hier aan bijdragen.",2,1,2,1,3,1,1
45,d66,2012,"Ons klimaat verandert. Heftige buien, een hogere zeespiegel of juist lagere aanvoer van de Rijn stellen ons voor een nieuwe uitdaging: een hogere mate van flexibiliteit is nodig om ons te beschermen tegen zowel teveel water als tegen periodes met te weinig (zoet) water. Dat vergt tot 2050 forse investeringen, een landelijke aanpak en lokale kennis.",2,1,1,1,3,2,1
46,d66,2017,"Als we de uitdagingen rond immigratie, energie, veiligheid, handel en klimaat op willen lossen en de kansen willen pakken, dan moet dat gezamenlijk in Europa.",1,1,1,2,1,1,1
47,d66,2017,"Ambitieuze innovatiedoelen als energieopslag, gepersonaliseerde zorg, digitalisering van productieketens en duurzame voedselproductie werken positief en wervend, ook naar nieuwe generaties en investeerders. Daarbij moet nog meer geëxperimenteerd worden, bijvoorbeeld door prijzen uit te reiken voor innovaties gericht op specifieke maatschappelijke uitdagingen zoals de energietransitie, de overgang naar een circulaire economie of een lang gezond en zelfstandig leven.",4,1,1,1,2,1,1
48,d66,2017,"Wij zijn ervan overtuigd dat er geen grenzen aan de groei zijn, maar wel aan wat de aarde aankan. We leven alsof we reserveplaneten hebben, terwijl het broeikaseffect toeneemt en dieren plantsoorten uitsterven. We overschrijden de grens van wat onze planeet kan dragen. Wij zullen moeten leren welvarend te leven binnen die grenzen. Dat vereist dat we veel beter omgaan met de beschikbare middelen en minder verkwisten. Duurzame energie, duurzame landbouw, duurzame mobiliteit en circulaire economie zijn belangrijke bouwstenen. Dit zal op de korte termijn investeringen vragen, maar wij zijn ervan overtuigd dat op langere termijn het leven binnen duurzame grenzen tot extra economische groei leidt.",3,2,2,1,4,2,1
49,d66,2017,"Na jaren van economische hervormingen wil D66 nu investeren in de samenleving. Niet klakkeloos geld uitgeven, maar verantwoord investeren. Investeren in mensen. Investeren in de toekomst, dus in schone energie en digitalisering. Investeren in gelijke kansen om de toenemende tweedeling tegen te gaan.",3,2,1,1,1,1,1
50,d66,2017,In de afweging welke projecten deel uit zullen maken van het mobiliteitsfonds spelen naast economische effecten ook bijvoorbeeld de bijdrage aan het behalen van de gestelde klimaatdoelstellingen een rol.,2,1,1,1,1,1,1
51,d66,2017,We willen naar betalen voor gebruik van de auto in plaats van betalen voor bezit. Daarbij kan de daadwerkelijke CO2-uitstoot meegewogen worden. Daarvoor is nu ook nieuwe technologie beschikbaar die weinig investeringen vergt en waarbij de privacy van weggebruikers gewaarborgd is. Zo vereenvoudigen we het belastingstelsel en worden de kosten voor mobiliteit eerlijker over autobezitters verdeeld.,4,2,1,1,1,1,1
52,d66,2017,"In een wereld waar uitdagingen als veiligheid, energie, verduurzaming en vluchtelingenstromen grenzen overschrijden, is een slagvaardig Europa cruciaal.",1,1,1,3,1,1,1
53,d66,2017,"We gaan om naar een schone economie met weinig of geen CO2-uitstoot. De uitstoot van CO2 brengen we terug met tenminste 25% in 2020, 55% in 2030 en klimaatpositief in 2050. Duurzame energie is niet alleen schoon en gezond, maar ook noodzakelijk om in de toekomst economische concurrerend en geopolitiek onafhankelijk te zijn.",3,1,2,3,2,1,1
54,d66,2017,"We werken samen in Europa en daarbuiten om scheep- en luchtvaart schoner te maken en de uitstoot van CO2, roet, stikstof en andere vervuilende stoffen te verminderen. Bijvoorbeeld door samen normen op te stellen en te werken met gedifferentieerde havengelden.",2,1,1,1,4,1,1
55,d66,2017,"Klimaatverandering leidt ook tot grote wateroverlast door steeds heftiger regenbuien, en tot gezondheidsrisico's door hittestress in de steden. D66 wil daarom de klimaat-adaptieve stad stimuleren, door maatregelen om wateroverlast – en daarmee economische en gezondheidsschade – te beperken.",2,1,1,1,4,2,1
56,d66,2017,"D66 wil af van de starre Europese zevenjaarsbegroting, waarin vooral geld naar landbouwsubsidies en regiofondsen gaat. Wij willen flexibelere begrotingen gericht op innovatie, duurzame infrastructuur, energie en kennis.",3,1,1,1,2,1,1
57,d66,2021,"We bereiden ons voor op het scenario waarbij de zeespiegel verder stijgt en de huidige kustbescherming niet langer voldoet. We starten daarom proefprojecten voor nieuwe vormen van kustbescherming, zoals een brede dijk en eilanden met verschillende functies voor de Zeeuwse kust.",1,1,2,1,3,2,1
58,d66,2021,"Bij de keuze voor een energiemix kijken we naast de productie ook naar het verbruik. De productie van schone gassen en brandstoffen staat nog in de kinderschoenen en moet de komende jaren flink worden verhoogd. Daarom moet het beschikbare schone gas ingezet worden waar de meeste CO2- uitstoot wordt voorkomen en waar er geen alternatieven zijn. Aangezien schoon gas schaars en duur is, wordt het alleen gebruikt waar er geen beter, duurzaam alternatief is. We proberen dubbele investeringen in elektriciteits- en gasnetwerken zo veel mogelijk te voorkomen.",4,1,2,1,1,2,1
59,d66,2021,"We steunen de ontwikkeling van apps voor actueel reisadvies via meerdere vervoersmiddelen waar je gelijk kan reserveren, boeken, betalen en de CO2 uitstoot van de reis wordt getoond.",1,1,1,1,2,1,1
60,d66,2021,"Dankzij de luchtvaart kunnen we internationaal zakendoen en overal ter wereld wonen, werken en studeren. Maar de keerzijde van het vliegen voor het milieu en voor de gezondheid van omwonenden wordt steeds zichtbaarder. D66 wil een einde maken aan de massaconsumptie van vliegen ten koste van de leefomgeving. We willen daarom duidelijke en handhaafbare klimaat- en milieugrenzen, een eerlijke prijs voor vliegen en investeringen in duurzame innovaties. Zeker nu, in tijden van corona, moeten we hieraan werken. Ons luchtvaartbeleid richt zich op herstel van de balans tussen economie en leefomgeving. De impact van de luchtvaart op het klimaat en op de gezondheid van omwonenden moet worden ingeperkt. Daarom komen er heldere, handhaafbare en strengere grenzen en verbeterdoelstellingen voor uitstoot van CO2, voor geluidsbelasting en voor luchtvervuiling. Uit deze normen volgen de plafonds voor het aantal vliegbewegingen op Nederlandse luchthavens.",2,1,2,1,4,2,1
61,d66,2021,"D66 staat voor vrije en eerlijke handel op basis van regels. Handel en investeringen staan daarmee niet alleen in dienst van economische belangen, maar ook van klimaat, mens, natuur en dieren.",2,3,1,1,2,1,1
62,d66,2021,"We willen stevig inzetten op warmte- en koudeopslag. Zo voorkomen we dat er in warme perioden veel onnodige energie nodig is voor koeling en benutten we die warmte voor de koudere perioden. Alleen voor bepaalde oude stadswijken waar alternatieven onbetaalbaar zijn, staan we toe om over te schakelen op schoon gas of hybride warmtepompen. Gemeenten moeten voor die keuze goedkeuring vragen bij de minister. We willen gebouwgebonden financiering, waarmee de financiering van bijvoorbeeld zonnepanelen, een warmtepomp en isolatie gebonden zijn aan gebouwen in plaats van personen. Zo blijf je na verkoop van je woning niet met een restschuld achter en kun je zonnepanelen doorgeven aan de nieuwe bewoner. In nieuwe gebouwen komt geen gasketel meer. Nieuwe ketels moeten ten minste hybride zijn. We stimuleren bovendien innovaties om volwaardige alternatieven voor de cv-ketel te ontwikkelen.",3,1,1,1,1,1,1
63,d66,2021,Het inkoop- en vastgoedbeleid van Defensie wordt zoveel mogelijk verduurzaamd. Op deze manier wordt de krijgsmacht bovendien minder afhankelijk van fossiele brandstoffen.,1,1,1,3,1,1,1
64,d66,2021,"Nu komen onder stallen 'dunne' (urine) en 'dikke' (ontlasting) mest bij elkaar. Deze mest verrot en dat leidt tot een enorme uitstoot van methaan en ammoniak. Wij willen dat bij nieuwbouw en verbouwingen emissiearme vloeren, die dikke en dunne mest gescheiden opvangen, de norm worden. Per 2030 komt er een verbod op rotte drijfmest.",1,1,2,1,4,2,1
65,d66,2021,De vrachtwagenheffing blijft zeker tot 2030 gelden. De opbrengsten worden teruggesluisd naar schone innovatie in de Nederlandse transportsector.,4,1,1,1,2,1,1
66,d66,2021,Nieuwe huizen worden energiezuinig (nul op de meter of beter) en bieden ruimte aan een groeiende groep alleenstaanden.,1,1,1,1,1,1,1
67,d66,2021,"Tegelijk weten we ook dat, op de lange termijn, de economie niet ongecontroleerd kan doorgroeien. De grenzen van het huidige economisch model komen in zicht, we stuiten op ecologische grenzen: grondstoffen raken op, de aarde warmt op en biodiversiteit neemt af. Uiteindelijk raakt dit het verdienvermogen van Nederland.",2,1,1,1,3,2,1
68,d66,2021,"Het openbaar vervoer is een duurzame manier om van A naar B te komen. D66 is voor uitbreiding van het spoor. In heel Nederland - van Groningen tot Maastricht - gaan treinen, trams en (elektrische) bussen vaker rijden.",1,1,1,1,2,1,1
69,d66,2021,Bovenop onze nationale agenda zetten we ook in de Europese Unie volop in op duurzaam economisch herstel. En dus zet D66 de Europese Green Deal en de digitale transitie centraal.,3,1,1,1,1,1,1
70,d66,2021,De bouw is alleen al verantwoordelijk voor 40 procent van het afval in Nederland. We zorgen dat gebouwen 'materialenbanken' worden van onderdelen die ontworpen zijn om te worden hergebruikt.,1,1,3,1,2,1,1
71,d66,2021,We stimuleren de inzet van thuisbatterijen met fiscale of andere financiële prikkels. We willen mogelijkheden creëren voor energie-uitwisseling in de wijk. Waar nodig passen we wetgeving daarvoor aan.,3,1,1,1,1,1,1
72,d66,2021,"Hiervoor hebben we een overheid nodig die haar impact niet alleen maar meet in economische welvaart, maar ook in welzijn, kwaliteit van leven, gezondheid, leefomgeving en klimaat. Ook blijft de overheid in moeilijke tijden investeren in de structurele transities van onderwijs, klimaat, arbeidsmarkt en de hervorming van het toeslagenstelsel.",2,1,1,1,2,1,1
73,d66,2021,Een klimaatakkoord voor een schoner Nederland.,1,1,1,1,2,1,1
74,d66,2021,"We reserveren binnen het Mobiliteitsfonds meer geld voor infrastructuur, vooral voor openbaar vervoer. De focus op de auto binnen het huidige fonds houdt een echte keuze voor OV, en daarmee schone verstedelijking, tegen.",2,1,1,1,2,1,1
