motie_id,party,year,text,bloc,source,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,voice_n_sentences,voice_n_passive,voice_n_active,voice_prop_passive,voice_prop_active,neg_n_sentences,neg_n_negated,neg_prop_negated,mod_n_sentences,mod_prop_obligation,mod_prop_possibility,mod_prop_hedging,mod_prop_negation_mod,mod_prop_any_modal
,BBB,2023,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst.",Right,manifestos,1,3,1,1,2,1,1,7,0,7,0.0,1.0,7,1,0.14285714285714285,7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857
,BBB,2023,"Om de woningzoekenden en bouwers enige rust te bieden, maken we pas op de plaats met aanvullende duurzaamheidseisen aan nieuwbouwwoningen. Zo willen we nieuwbouwprojecten betaalbaar maar ook haalbaar maken. BBB zet voor wat betreft de verdere verduurzaming vooral in op de bestaande woningvoorraad. De laagste inkomens hebben het meeste last van de hoge energieprijzen en mensen met lage inkomens wonen vaak in sociale huurwoningen.",Right,manifestos,3,1,1,1,1,1,1,4,0,4,0.0,1.0,4,0,0.0,4,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"BBB zet voor wat betreft de verdere verduurzaming vooral in op de bestaande woningvoorraad. De laagste inkomens hebben het meeste last van de hoge energieprijzen en mensen met lage inkomens wonen vaak in sociale huurwoningen. Daarom zetten we samen met de corporatiesector en overige eigenaren van sociale huurwoningen in, op een versnelling van de verduurzaming van sociale huurwoningen.",Right,manifestos,2,3,1,1,2,2,1,3,0,3,0.0,1.0,3,0,0.0,3,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"BBB is voorstander van natuurinclusief bouwen en het gebruik van circulaire en plantaardig geproduceerde bouwmaterialen, denk aan hout, maar ook vlas, riet en ander bouwmateriaal dat uitermate geschikt is voor de bouw van duurzame, nieuwe woningen. Wij willen dat bij sloop en renovatie van woningen zoveel mogelijk rekening wordt gehouden met hergebruik van de vrijkomende materialen.",Right,manifestos,1,1,1,1,3,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"Bij binnenstedelijke herontwikkeling en/of renovatie letten we op klimaatadaptatie, bijvoorbeeld door ruimte te laten voor groen en water.",Right,manifestos,1,1,1,1,2,1,1,1,0,1,0.0,1.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"We beschermen onze nationale belangen via EU-handelsverdragen. Daarin wordt opgenomen dat klimaat, milieu en gezondheidseisen van importproducten gelijk zijn aan de eisen die hier gelden voor de productie ervan.",Right,manifestos,1,2,1,1,2,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2023,We volgen het nieuw geïntroduceerde systeem van 'CO2-belasting' (Carbon Border Adjustment Mechanism) bij import zeer kritisch. We grijpen hierop in zodra blijkt dat in Nederland gevestigde producenten hiervan oneerlijke concurrentie ondervinden.,Right,manifestos,2,1,1,1,1,1,3,2,0,2,0.0,1.0,2,0,0.0,2,0.0,0.0,0.5,0.0,0.5
,BBB,2023,Dierlijke mest moet geaccepteerd worden als groeibevorderaar en grondstof in plaats als afvalstof. De EU moet stimuleren dat kunstmest vervangen kan worden door producten gemaakt uit dierlijke mest. Dit is beter voor de bodem en verlaagt de CO2-uitstoot die gepaard gaat met kunstmestproductie.,Right,manifestos,1,1,1,1,2,1,1,3,2,1,0.6666666666666666,0.3333333333333333,3,0,0.0,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
,BBB,2023,De EU moet stimuleren dat kunstmest vervangen kan worden door producten gemaakt uit dierlijke mest. Dit is beter voor de bodem en verlaagt de CO2-uitstoot die gepaard gaat met kunstmestproductie.,Right,manifestos,1,1,1,1,2,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.5,0.0,0.0,0.0,0.5
,BBB,2023,We zetten in op het bevorderen van voedsel van dichtbij boven producten van ver weg. We stimuleren dit door het verlagen van de kosten voor korte ketens en het verhogen van de kosten voor voedsel van ver weg. Hier kan worden gedacht aan een toeslag per kilometer of andere stimuleringsregels.,Right,manifestos,4,1,1,1,2,1,1,3,1,2,0.3333333333333333,0.6666666666666666,3,0,0.0,3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
,BBB,2023,"We zetten in op het heronderhandelen van een EU-Mercosur-verdrag (producten uit Argentinië, Brazilië, Paraguay en Uruguay). Dit verdrag leidt tot oneerlijke concurrentie voor Europese boeren, wat weer tot extra ontbossing van het Amazone regenwoud leidt. Zo helpen we niet alleen ons land maar de wereld te verduurzamen.",Right,manifestos,2,2,1,1,2,1,2,3,0,3,0.0,1.0,3,1,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.0
,BBB,2023,Energie en technologie nemen een steeds belangrijker plaats in levens van mensen en in de economie. Een sterke energie- en digitale infrastructuur dient burgers en bedrijven en verkleint de verschillen en de afstand tussen stad en platteland. BBB maakt zich sterk voor het snel verbeteren en opschalen van de energie en digitale infrastructuur en wil daarin versneld investeren.,Right,manifestos,2,1,1,1,1,1,1,3,0,3,0.0,1.0,3,0,0.0,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
,BBB,2023,"We gaan regio's en steden beter voorbereiden op extreme weersomstandigheden, zoals overstromingen en droogte. Dit omvat onder andere de ontwikkeling van groene infrastructuur in bebouwde gebieden en het bevorderen van oplossingen om water langer vast te houden. Bij nieuwbouw wordt getoetst of de plannen genoeg voorbereid zijn op extreme weersomstandigheden. Waterschappen moeten daarom meegenomen worden in de vergunningverlening van nieuwbouwprojecten. We willen het bewustzijn onder burgers en bedrijven vergroten over het belang van water en groen bij het tegengaan van hittestress.",Right,manifestos,1,1,1,1,4,2,1,5,2,3,0.4,0.6,5,0,0.0,5,0.2,0.0,0.0,0.0,0.2
,BBB,2023,"Duurzame energie brengt nu heel veel landschapsvervuiling met zich mee. Land en zee staan vol met windturbines en hele stukken vruchtbare landbouwgrond worden opgeofferd voor zonnepanelen. Wij gaan ons inzetten voor kernenergie en totdat dit voldoende energie oplevert, zullen zonnepanelen alleen op plekken als daken, geluidswallen en boven parkeerplekken komen.",Right,manifestos,1,1,1,1,2,1,3,3,1,2,0.3333333333333333,0.6666666666666666,3,0,0.0,3,0.0,0.0,0.0,0.0,0.0
,BBB,2023,Internationale trein- en busverbindingen als alternatief voor korte afstandsvluchten krijgen een hogere prioriteit bij de besteding van de 'Meerjarenprogramma Infrastructuur Ruimte en Transport' (MIRT) gelden. Ook de opbrengsten van nationaal geïnde vliegbelasting worden hiervoor ingezet.,Right,manifestos,2,1,1,1,1,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"Zero Emissie (ZE) zones in gemeenten gaan vanaf 2025 in. Dit lijkt onhaalbaar en onbetaalbaar en moet uitgesteld worden. Er moet ook een overgangsregeling komen: in het geval ondernemers wel moeite tonen door een aanvraag voor subsidie of netaansluiting te doen, maar deze niet ontvangen, krijgen ze een ZE-zone ontheffing voor hun dieselvoertuigen.",Right,manifestos,4,1,1,1,1,1,2,4,1,3,0.25,0.75,4,1,0.25,4,0.5,0.0,0.0,0.0,0.5
,BBB,2023,"We stimuleren het gebruik van schonere brandstoffen voor transport (bijvoorbeeld biodiesel, synthetische brandstoffen en waterstof).",Right,manifestos,1,1,1,1,2,1,1,1,0,1,0.0,1.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"We willen de luchtvaartsector de kans geven om verder en sneller te innoveren en toe te werken naar een schone toekomst. Goede en toegankelijke luchtvracht en een goed netwerk van internationale verbindingen is en blijft van belang voor ons bedrijfsleven en ons vestigingsklimaat. Versnelling van de verduurzaming van de luchtvaart, waarbij de door Nederland recent verhoogde vliegticketbelasting wordt 'geoormerkt' voor deze versnelling alsmede aan het nog verder stimuleren van (inter)nationaal reizen per trein en bus. De afbouw van de accijnsvrijstelling op fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden. Het maximum aantal vluchten van en naar Schiphol zullen we 'bevriezen'. Eventuele toekomstige extra vluchten op Schiphol zijn alleen mogelijk bij een toonaangevende afname van de geluidshinder en milieu­gebruiksruimte.",Right,manifestos,3,2,3,2,3,2,2,6,2,4,0.3333333333333333,0.6666666666666666,7,0,0.0,7,0.0,0.0,0.0,0.0,0.0
,BBB,2023,fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden.,Right,manifestos,2,1,1,1,2,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"Er komt een 'modal shift' beleid om, wanneer mogelijk, het verplaatsen van goederenstromen te stimuleren van de weg naar het spoor, buisleiding en waterweg.",Right,manifestos,1,1,1,1,2,1,1,1,0,1,0.0,1.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"De elektrificatie van de Nederlandse economie en maatschappij is in de afgelopen jaren in een stroom­ versnelling geraakt, maar dit betekent ook veel voor de infrastructuur. De vraag naar transport van elektriciteit is explosief gestegen met netcongestie als gevolg. Buisleidingen krijgen een belangrijkere rol kijkende naar de aantrekkende vraag naar 'nieuwe' stoffen rondom de energietransitie (CO2, Ammoniak, Waterstof), de goede veiligheidsprestaties en het schaarser worden van personeel. We zetten in op de actualisatie van de 'rijksstructuurvisie buisleidingen' en de ontwikkeling van de Rhine Corridor voor waterstof en de afvang en opvang van CO2.",Right,manifestos,2,1,2,2,1,1,1,4,2,2,0.5,0.5,4,0,0.0,4,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"De elektrificatie van de Nederlandse economie en maatschappij is in de afgelopen jaren in een stroomversnelling geraakt, maar dit betekent ook veel voor de infrastructuur. De vraag naar transport van elektriciteit is explosief gestegen met netcongestie als gevolg. Buisleidingen krijgen een belangrijkere rol kijkende naar de aantrekkende vraag naar 'nieuwe' stoffen rondom de energietransitie (CO2, Ammoniak, Waterstof), de goede veiligheidsprestaties en het schaarser worden van personeel. We zetten in op de actualisatie van de 'rijksstructuurvisie buisleidingen' en de ontwikkeling van de Rhine Corridor voor waterstof en de afvang en opvang van CO2.",Right,manifestos,2,1,2,2,1,1,1,4,2,2,0.5,0.5,4,0,0.0,4,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"BBB vindt dat het Europees landbouw-, milieu- en klimaatbeleid met gezond verstand en gepaste milieu­ ruimte op maat moet worden gebracht, waarbij rekening wordt gehouden met de verschillen tussen lidstaten. Ook moet de staat van de natuur in elk land op dezelfde manier in kaart gebracht worden, zodat we beleid vergelijkbaar implementeren. We willen binnen de EU op deze gebieden een gelijk speelveld houden.",Right,manifestos,1,1,1,1,2,1,1,3,2,1,0.6666666666666666,0.3333333333333333,3,0,0.0,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
,BBB,2023,"Met een groeiende wereldbevolking en met steeds meer economische activiteiten is het klimaat steeds meer onder druk komen te staan. Hoewel het klimaat al sinds het ontstaan van de aarde aan autonome verandering onderhevig is, heeft de mensheid zeker ook een impact. Hoe groot die invloed is, daar verschillen meningen en onderzoeken over. Vanuit rentmeesterschap streeft BBB naar een samenleving waarbij we, voor zover we er invloed op hebben, en waar, onze impact op het klimaat beperken. De grootste impact op het klimaat lijken we te hebben door ons gebruik van energiebronnen. Een uitdaging want, ons leven heeft zich ontwikkeld in een situatie waarin we sterk afhankelijk zijn geworden van externe energiebronnen. Toch gaan we deze transitie met beide handen en zorgvuldig aanpakken.",Right,manifestos,1,2,1,1,2,2,1,7,1,6,0.14285714285714285,0.8571428571428571,7,0,0.0,7,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
,BBB,2023,"Het klimaat is het geheel van weersomstandigheden (als temperatuur, wind en neerslag) die gedurende een bepaalde periode een gebied karakteriseren. Dit is dus groter dan alleen de CO2-concentratie (0,03%) in onze atmosfeer. Vooralsnog is de focus op CO2-reductie. Voorgaande en huidige regeringen hebben al ambitieuze doelen gesteld om bijvoorbeeld de netto CO2-uitstoot sterk te reduceren. Daarbij is van essentieel belang dat doelstellingen zowel draagvlak als ook participatie van de bevolking hebben. Alleen samen kunnen we een verandering in gang zetten en tot een succes maken. Het benodigde draagvlak en acceptatie kunnen gerealiseerd worden als besluitvorming transparant is en de lusten en lasten eerlijk verdeeld worden.",Right,manifestos,1,2,1,1,1,1,1,5,1,4,0.2,0.8,7,0,0.0,7,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
,BBB,2023,"Europa heeft een ambitieuzere klimaatdoelstelling geformuleerd (< 1,5 graden) dan het 'Parijs akkoord' (< 2 graden stijging) met als gevolg, dat de Nederlandse samenleving voor een enorme opgave staat om in 2030 de netto uitstoot van CO2 met 55% te reduceren ten opzichte van 1990 en in 2050 CO2-neutraal te zijn. Hierbij is overigens voor Nederland wel de mogelijkheid van saldering op EU-niveau. Nederland moet zich dus maximaal inzetten om deze doelen te behalen, maar dat doen we wel met gezond verstand. Daarbij wegen we alle belangen mee en kijken we naar het grote geheel. Wereldwijd draagt Nederland slechts 0.4% bij aan de wereldwijde CO2-uitstoot en onze CO2-voetafdruk per inwoner is al veel lager dan menig ander (westers) land.",Right,manifestos,1,1,2,1,1,2,1,4,0,4,0.0,1.0,5,0,0.0,5,0.2,0.0,0.0,0.0,0.2
,BBB,2023,"De energietransitie speelt bij het behalen van CO2-doelstellingen een belangrijke rol. De energietransitie vraagt om een Deltaplan. Nieuwe activiteiten zullen moeten worden opgebouwd, terwijl andere activiteiten worden om- of afgebouwd. Dit veranderproces vraagt grote investeringen door bedrijven, veelal zullen de prijsstijgingen die daar het gevolg van zijn, worden doorbelast aan de burger. De burger moet deze lastenverzwaring wel kunnen blijven dragen. Daarom zetten wij in op een rechtvaardige verdeling van de kosten die samengaan met de klimaatmaatregelen.",Right,manifestos,4,3,1,1,1,1,2,6,2,4,0.3333333333333333,0.6666666666666666,6,0,0.0,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
,BBB,2023,"Voor een bijdrage aan het klimaat en het einde van het gebruik van fossiele brandstoffen is het dus van belang dat we de transitie naar duurzame energie maken. Tijdens deze transitie zullen we geen fossiele energiebronnen uitfaseren zolang betaalbare duurzame alternatieven nog niet beschikbaar zijn. Als we met elkaar samen de schouders eronder zetten, kunnen we veel bereiken. Hierbij spelen, naast het bedrijfsleven, alle burgers een belangrijke rol. Zo kan ook de landbouwsector een belangrijke rol spelen in de ontwikkeling van groene waterstof en biogas.",Right,manifestos,1,2,1,1,2,1,1,5,0,5,0.0,1.0,5,1,0.2,5,0.0,0.4,0.0,0.0,0.4
,BBB,2023,"bijmengverplichting van 20% groen gas in het gasnet blijft behouden. Voor onze boeren is dit een mooie kans om met behulp van mestvergisters biogas te produceren. Dit zal een CO2-besparing opleveren. Wij willen de productie van lokaal geproduceerde duurzame biomassa en biogas stimuleren, met name door de inzet van reststromen uit de landbouw en voedselindustrie. Een op te richten agentschap biogrondstoffen kan overheid en markt bijstaan in kennisontwikkeling, scenarioplanning en advies.",Right,manifestos,2,1,2,1,2,1,1,6,0,6,0.0,1.0,6,0,0.0,6,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
,BBB,2023,"We dringen het gebruik van fossiele brandstoffen verder terug door in te zetten op gebruik van duurzame en schone energie, zonder dat dit leidt tot oneerlijke concurrentie of de betaalbaarheid van energie onevenredig onder druk zet. Onze laatste meest moderne kolencentrales worden niet gesloten zolang daar geen betrouwbare alternatieven voor in de plaats zijn gekomen, zoals kernenergie. De stroomproductie uit wind en zon fluctueert veel te sterk (op alle tijdschakelaars van minuut tot jaar) om alle continu producerende systemen te vervangen. We stoppen nieuwe projecten om wind op land te realiseren. De ontwikkeling van nieuwe windturbineparken op zee temporiseren we en ook de bouw van nieuwe windturbineparken op zee zal gestopt worden, afhankelijk hoe snel alternatieve vormen zonne- en kernenergie en biogas opgeschaald kunnen worden. We willen dat bedrijven, daar waar elektrificatie geen haalbare optie is, verduurzamingsinvesteringen gaan doen in bijvoorbeeld geïmporteerde waterstof om te voorkomen dat een te groot deel van onze Noordzee volgebouwd zal worden met windturbines.",Right,manifestos,3,2,3,3,2,3,3,7,4,3,0.5714285714285714,0.42857142857142855,7,2,0.2857142857142857,7,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
,BBB,2023,"We investeren in onderzoek en innovatie op het gebied van duurzame energie. Denk aan nucleaire energie, waterstof, ammoniak, methanol en biogas. Tevens kunnen we ook denken aan middelgrote kerncentrales, getijdenstroom, waterkrachtcentrales, aardwarmte en waterwarmte. Alle initiatieven die, eventueel met opstartsteun van publieke middelen, door privaat initiatief tot stand kunnen komen. Lokale biomassa reststromen die bijvoorbeeld vrijkomen bij regulier bosbeheer, kunnen voor kleinschalige lokale energieopwekking worden benut. Overige grootschalige biomassa vinden wij niet duurzaam. Wij zijn dus tegen de import van grootschalige biomassa en te verbranden afval.",Right,manifestos,3,1,1,1,2,1,1,7,1,6,0.14285714285714285,0.8571428571428571,7,1,0.14285714285714285,7,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855
,BBB,2023,"We investeren in kernenergie als een bron van duurzame energie door de huidige nieuwbouw van geplande kerncentrales te versnellen en aan te vullen met kleine SMR (small modular reactors), zodat we 24 uur per dag elektriciteit, waterstof en warmte kunnen produceren waarbij we reactoren op strategische plekken plaatsen om zo het transport van deze energie tot een minimum te houden.",Right,manifestos,3,1,1,3,1,1,1,1,0,1,0.0,1.0,1,0,0.0,1,0.0,1.0,0.0,0.0,1.0
,BBB,2023,"De bevolking van Afrika zal meer dan verdubbelen tegen 2050 en is in rap tempo aan het industrialiseren. Ondertussen heeft het continent grote hoeveelheden edelmetalen en zullen de gevolgen van klimaatverandering en voedselproductie groter maken. Landen als Rusland en China zien het grote belang van Afrika en koloniseren de strategisch relevante gebieden. Zichzelf respecterende democratische landen zullen daar een antwoord op moeten hebben. BBB wil daarom investeren in, en relaties verbeteren met, Afrika.",Right,manifestos,1,1,1,3,1,1,1,5,0,5,0.0,1.0,5,0,0.0,5,0.2,0.0,0.0,0.0,0.2
,BBB,2023,De bevolking van Afrika zal meer dan verdubbelen tegen 2050 en is in rap tempo aan het industrialiseren. Ondertussen heeft het continent grote hoeveelheden edelmetalen en zullen de gevolgen van klimaatverandering en voedselproductie groter maken.,Right,manifestos,1,1,1,1,2,3,1,2,0,2,0.0,1.0,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,CDA,2010,"De kabinetten Balkenende hebben ervoor gezorgd dat Nederland er op dit punt in de crisis in economisch en sociaal opzicht beter voor staat dan veel andere landen, maar toch zal er de komende jaren veel gedaan moeten worden: we zullen verder moeten bouwen aan een veilig en welvarend Nederland. We moeten dat slagvaardig, maar samen doen. Iedereen die mee kan doen, moet mee doen en mee kunnen doen. En wie niet in staat is mee te doen, moeten we adequaat beschermen en bij de maatschappij blijven betrekken. De komende jaren gaat het niet alleen om het op orde krijgen van de financiën en de criminaliteit strenger aan te pakken. Het CDA wil verder gaan. Het gaat ook om hoe wij met elkaar omgaan en hoe wij met de natuur omgaan. Dat betekent voor het CDA rekening houden met elkaar, bewuster consumeren en verantwoordelijk omgaan met de ruimte om ons heen.",Center,manifestos,1,3,1,1,2,1,1,8,1,7,0.125,0.875,8,2,0.25,8,0.5,0.0,0.0,0.0,0.5
,CDA,2010,"De natuurlijke hulpbronnen die ons dagelijks leven in belangrijke mate bepalen zijn schaars en raken in sommige gevallen zelfs langzaam uitgeput. De leefruimte in de wereld, maar zeker ook in Nederland, wordt steeds beperkter. En ongeacht de discussie over de snelheid daarvan, zijn er onmiskenbaar wijzigingen in het klimaat als gevolg van menselijk handelen te onderscheiden. Naar de mening van het CDA noodzaken deze ontwikkelingen tot bezinning op de toekomstige inrichting van Nederland, maar het gaat verder: wij gaan nu al aan de slag met die toekomstige inrichting. Het CDA komt binnen afzienbare termijn tot uitvoerbare plannen met betrekking tot verduurzaming van energie, verantwoord gebruik van openbare voorzieningen, maar ook toekomstbestendige aanwending van de openbare ruimte.",Center,manifestos,1,1,2,1,3,3,1,5,1,4,0.2,0.8,6,0,0.0,6,0.0,0.0,0.0,0.0,0.0
,CDA,2010,"Maatschappelijk Verantwoord Ondernemen (MVO) is belangrijk. Het laat zien dat ondernemingen behalve aandacht voor het rendement ook aandacht hebben voor mensen, milieu en maatschappij. MVO heeft betrekking op bovenwettelijke verplichtingen, maar mag niet vrijblijvend zijn. Dat betekent dat ondernemingen niet alleen gericht zijn op het belang van shareholders, maar op alle stakeholders. De continuïteit van ondernemingen moet weer centraal komen te staan. Het denken moet gericht zijn op duurzaamheid, wat betreft de omgeving (milieu), de klant en het product. De overheid kan deze verschillende vormen van duurzaamheid bevorderen door haar inkoop- en aanbestedingsbeleid. MVO werkt alleen wanneer ondernemingen zelf het MVO een nadrukkelijke plaats geven in de kernactiviteit van het bedrijf. Het primaat voor MVO ligt bij de ondernemingen zelf.",Center,manifestos,1,2,1,1,1,1,1,9,2,7,0.2222222222222222,0.7777777777777778,9,2,0.2222222222222222,9,0.2222222222222222,0.2222222222222222,0.0,0.0,0.4444444444444444
,CDA,2010,Het CDA is voorstander van minder belastingheffing op arbeid en winst (voordeel voor werkgelegenheid en economie) en meer op consumptie en milieuvervuilende activiteiten. De belastingdruk op activiteiten en consumptie in zowel de directe en indirecte belastingen dienen milieudruk te verdisconteren. Door de vergroening van het belastingstelsel kunnen de maatschappelijke kosten van milieuvervuilend gedrag worden meegenomen in de prijzen. Het maakt mensen bewuster bij het maken van keuzen en draagt bij,Center,manifestos,4,1,1,1,2,1,1,3,1,2,0.3333333333333333,0.6666666666666666,4,0,0.0,4,0.25,0.25,0.0,0.0,0.5
